OD matrix,,,,,,,,,,,,
Period: 2019-10-07 00:00:00 to 2019-10-10 00:00:00 ,,,,,,,,,,,,
Granularity: TAZ ,,,,,,,,,,,,
Entries: all routes; all stops,,,,,,,,,,,,
Exits: all routes; all stops,,,,,,,,,,,,
Daily period: 04:00:00 to 03:59:00 ,,,,,,,,,,,,
Days of week: working days,,,,,,,,,,,,
Card titles: all,,,,,,,,,,,,
,,,,,,,,,,,,
itaz,ftaz,volume,average_volume_per_day,volume_of_transfers,number_of_transfers,transfer_distance,transfer_time,travel_time,trust_level,,,
Benfica (Benfica | Sul),Areeiro (Areeiro | Sul),,,,,,,,,,,
Benfica (Benfica | Sul),Arroios (Anjos),81,20.3,46,0.57,0.035,12.190,26.770,92.06,,,
Benfica (Benfica | Sul),Arroios (Arroios | Norte),62,15.5,21,0.34,0.000,3.992,30.948,79.41,,,
Benfica (Benfica | Sul),Arroios (Arroios | Sul),29,7.3,55,1.90,0.057,18.202,38.428,95.51,,,
Benfica (Benfica | Sul),Arroios (Estefania),236,59.0,76,0.32,0.014,3.559,17.443,93.54,,,
Benfica (Benfica | Sul),Avenidas Novas (Avenidas Novas | Este),268,67.0,105,0.39,0.011,2.848,16.670,87.36,,,
Benfica (Benfica | Sul),Avenidas Novas (Avenidas Novas | Oeste),126,31.5,22,0.17,0.012,3.447,15.997,90.28,,,
Benfica (Benfica | Sul),Avenidas Novas (Bairro Santos | Este),221,55.3,145,0.66,0.048,12.691,24.847,94.59,,,
Benfica (Benfica | Sul),Avenidas Novas (Bairro Santos | Oeste),6,1.5,7,1.17,0.165,19.763,26.887,91,,,
Benfica (Benfica | Sul),Avenidas Novas (Campo Pequeno | Este),49,12.3,31,0.63,0.017,6.958,22.839,91.09,,,
Benfica (Benfica | Sul),Avenidas Novas (Campo Pequeno | Oeste),,,,,,,,,,,
Benfica (Benfica | Sul),Avenidas Novas (Parque Eduardo VII),751,187.8,107,0.14,0.011,2.542,14.724,96.41,,,
Benfica (Benfica | Sul),Avenidas Novas (Picoas),225,56.3,72,0.32,0.013,3.286,25.769,94.05,,,
Benfica (Benfica | Sul),Beato (Madre Deus | Norte),1,0.3,4,4.00,0.000,19.938,41.096,,,,
Benfica (Benfica | Sul),Beato (Madre Deus | Oeste),8,2.0,22,2.75,0.099,20.035,44.070,95.11,,,
Benfica (Benfica | Sul),Beato (Madre Deus | Sul),3,0.8,4,1.33,0.029,26.516,48.688,100,,,
Benfica (Benfica | Sul),Beato (Picheleira),3,0.8,7,2.33,0.085,38.981,57.990,100,,,
Benfica (Benfica | Sul),Belem (Alto Duque),33,8.3,26,0.79,0.175,15.289,31.507,96.6,,,
Benfica (Benfica | Sul),Belem (Belem | Este),27,6.8,66,2.44,0.247,165.775,43.537,96.99,,,
Benfica (Benfica | Sul),Belem (Belem | Oeste),1410,352.5,238,0.17,0.012,2.845,19.706,98.46,,,
Benfica (Benfica | Sul),Belem (Ribeirinha - Belem),,,,,,,,,,,
Benfica (Benfica | Sul),Benfica (Benfica | Norte),720,180.0,475,0.66,0.092,11.904,16.963,92.16,,,
Benfica (Benfica | Sul),Benfica (Benfica | Sul),3688,922.0,1425,0.39,0.049,14.403,17.402,90.29,,,
Benfica (Benfica | Sul),Benfica (Colegio Militar/Luz),2937,734.3,362,0.12,0.009,3.406,5.746,94.04,,,
Benfica (Benfica | Sul),Benfica (Monsanto | Norte),767,191.8,94,0.12,0.014,6.344,5.352,93.66,,,
Benfica (Benfica | Sul),Campo de Ourique (Amoreiras),1022,255.5,123,0.12,0.011,4.914,14.126,95.68,,,
Benfica (Benfica | Sul),Campo de Ourique (Campo Ourique),71,17.8,83,1.17,0.127,22.119,34.213,96.38,,,
Benfica (Benfica | Sul),Campolide (Bairro Liberdade),12,3.0,11,0.92,0.158,27.457,41.202,96.23,,,
Benfica (Benfica | Sul),Campolide (Campolide),367,91.8,68,0.19,0.028,4.782,12.254,84.13,,,
Benfica (Benfica | Sul),Campolide (Praca Espanha | Norte),1217,304.3,98,0.08,0.000,1.387,8.130,98.61,,,
Benfica (Benfica | Sul),Campolide (Praca Espanha | Sul),6,1.5,6,1.00,0.125,13.130,25.587,74.5,,,
Benfica (Benfica | Sul),Carnide (Avenidas Novas),647,161.8,109,0.17,0.023,2.513,8.839,94.52,,,
Benfica (Benfica | Sul),Carnide (Carnide),1321,330.3,235,0.18,0.026,8.281,14.496,98,,,
Benfica (Benfica | Sul),Estrela (Alcantara),52,13.0,54,1.04,0.125,16.905,29.297,93.08,,,
Benfica (Benfica | Sul),Estrela (Estrela),35,8.8,87,2.49,0.104,35.287,30.825,96.29,,,
Benfica (Benfica | Sul),Estrela (Lapa),13,3.3,26,2.00,0.332,27.805,54.705,96.72,,,
Benfica (Benfica | Sul),Estrela (Ribeirinha - Belem),7,1.8,13,1.86,0.306,174.910,33.772,95.68,,,
Benfica (Benfica | Sul),Fora Municipio Lisboa,2304,576.0,1168,0.51,0.026,5.542,14.375,95.76,,,
Benfica (Benfica | Sul),Lumiar (Aeroporto),18,4.5,32,1.78,0.056,23.827,40.530,96.63,,,
Benfica (Benfica | Sul),Lumiar (Lumiar | Norte),8,2.0,16,2.00,0.161,23.033,38.922,91.69,,,
Benfica (Benfica | Sul),Lumiar (Lumiar | Oeste),91,22.8,40,0.44,0.049,4.221,16.638,94.97,,,
Benfica (Benfica | Sul),Lumiar (Lumiar | Sul),6,1.5,15,2.50,0.028,28.255,45.112,100,,,
Benfica (Benfica | Sul),Lumiar (Paco Lumiar),227,56.8,37,0.16,0.021,3.268,17.046,99.32,,,
Benfica (Benfica | Sul),Lumiar (Parque Europa),38,9.5,71,1.87,0.238,25.700,43.188,92.51,,,
Benfica (Benfica | Sul),Lumiar (Telheiras | Este),160,40.0,78,0.49,0.028,7.507,22.047,98.74,,,
Benfica (Benfica | Sul),Lumiar (Telheiras | Norte),132,33.0,14,0.11,0.014,1.581,10.225,99.17,,,
Benfica (Benfica | Sul),Lumiar (Telheiras | Oeste),90,22.5,59,0.66,0.034,13.219,28.176,98.3,,,
Benfica (Benfica | Sul),Marvila (Bairro Armador),1,0.3,2,2.00,0.000,38.243,65.508,,,,
Benfica (Benfica | Sul),Marvila (Chelas),30,7.5,26,0.87,0.184,24.325,57.398,92.15,,,
Benfica (Benfica | Sul),Marvila (Infante Dom Henrique - Porto | Este),19,4.8,46,2.42,0.207,26.344,57.683,97.67,,,
Benfica (Benfica | Sul),Marvila (Infante Dom Henrique - Porto | Oeste),,,,,,,,,,,
Benfica (Benfica | Sul),Marvila (Marechal Gomes da Costa),65,16.3,33,0.51,0.023,5.103,23.082,92.79,,,
Benfica (Benfica | Sul),Marvila (Parque Bela Vista),76,19.0,67,0.88,0.029,7.875,18.835,97.63,,,
Benfica (Benfica | Sul),Misericordia (Bairro Alto),171,42.8,34,0.20,0.012,4.600,19.392,92.99,,,
Benfica (Benfica | Sul),Misericordia (Sao Paulo),419,104.8,88,0.21,0.039,24.968,22.670,93.79,,,
Benfica (Benfica | Sul),Olivais (Alfredo Bensaude),11,2.8,30,2.73,0.183,32.002,58.808,91.83,,,
Benfica (Benfica | Sul),Olivais (Encarnacao | Este),5,1.3,7,1.40,0.144,27.965,52.309,93.53,,,
Benfica (Benfica | Sul),Olivais (Encarnacao | Oeste),2,0.5,6,3.00,0.287,31.394,64.368,96.67,,,
Benfica (Benfica | Sul),Olivais (Logistica Aeroportuaria),3,0.8,6,2.00,0.146,34.534,50.861,94.38,,,
Benfica (Benfica | Sul),Olivais (Olivais - Centro),3,0.8,8,2.67,0.193,33.437,50.174,89.08,,,
Benfica (Benfica | Sul),Olivais (Olivais | Este),,,,,,,,,,,
Benfica (Benfica | Sul),Olivais (Olivais | Norte),1,0.3,1,1.00,0.000,12.535,37.606,94.5,,,
Benfica (Benfica | Sul),Olivais (Olivais | Sul),1,0.3,1,1.00,0.034,28.403,47.706,99.5,,,
Benfica (Benfica | Sul),Olivais (Relogio),,,,,,,,,,,
Benfica (Benfica | Sul),Parque das Nacoes (Estacao Oriente),190,47.5,100,0.53,0.035,5.787,22.029,97.17,,,
Benfica (Benfica | Sul),Parque das Nacoes (Parque Nacoes | Norte),1,0.3,3,3.00,0.000,32.485,71.690,,,,
Benfica (Benfica | Sul),Parque das Nacoes (Parque Nacoes | Sul),1,0.3,2,2.00,0.279,52.916,84.833,100,,,
Benfica (Benfica | Sul),Parque das Nacoes (Parque Tejo),3,0.8,9,3.00,0.098,24.540,44.166,100,,,
Benfica (Benfica | Sul),Parque das Nacoes (Quinta Laranjeiras),7,1.8,7,1.00,0.094,18.361,39.942,90.75,,,
Benfica (Benfica | Sul),Penha de Franca (Penha Franca),25,6.3,43,1.72,0.142,26.219,55.201,93.97,,,
Benfica (Benfica | Sul),Penha de Franca (Sao Joao),43,10.8,62,1.44,0.110,31.365,61.935,98.93,,,
Benfica (Benfica | Sul),Santa Clara (Ameixoeira | Norte),67,16.8,35,0.52,0.110,15.220,38.838,98.42,,,
Benfica (Benfica | Sul),Santa Clara (Ameixoeira | Sul),119,29.8,70,0.59,0.049,7.467,26.880,96.02,,,
Benfica (Benfica | Sul),Santa Maria Maior (Baixa),388,97.0,58,0.15,0.009,7.813,22.648,93.89,,,
Benfica (Benfica | Sul),Santa Maria Maior (Castelo),9,2.3,38,4.22,0.222,86.978,48.171,88.81,,,
Benfica (Benfica | Sul),Santo Antonio (Amoreiras),2,0.5,2,1.00,0.472,23.568,41.278,65.25,,,
Benfica (Benfica | Sul),Santo Antonio (Sao Jose),83,20.8,90,1.08,0.024,24.548,31.318,94.77,,,
Benfica (Benfica | Sul),Santo Antonio (Sao Mamede),554,138.5,103,0.19,0.000,3.229,12.194,80.61,,,
Benfica (Benfica | Sul),Sao Domingos de Benfica (Estrada Luz | Este),112,28.0,71,0.63,0.035,7.768,15.062,94.03,,,
Benfica (Benfica | Sul),Sao Domingos de Benfica (Estrada Luz | Oeste),86,21.5,29,0.34,0.013,3.121,8.894,86.05,,,
Benfica (Benfica | Sul),Sao Domingos de Benfica (Monsanto | Norte),6,1.5,4,0.67,0.137,34.075,39.455,97.87,,,
Benfica (Benfica | Sul),Sao Domingos de Benfica (Sao Domingos de Benfica),1937,484.3,211,0.11,0.007,1.486,4.038,95.65,,,
Benfica (Benfica | Sul),Sao Domingos de Benfica (Sete Rios | Norte),833,208.3,234,0.28,0.020,5.597,10.348,97.52,,,
Benfica (Benfica | Sul),Sao Domingos de Benfica (Sete Rios | Sul),44,11.0,37,0.84,0.122,19.712,25.937,89.4,,,
Benfica (Benfica | Sul),Sao Vicente de Fora (Sao Vicente),33,8.3,63,1.91,0.060,22.056,42.172,95.13,,,
Benfica (Colegio Militar/Luz),Ajuda (Ajuda | Norte),210,52.5,4,0.02,0.000,0.517,17.879,99.19,,,
Benfica (Colegio Militar/Luz),Ajuda (Ajuda | Oeste),23,5.8,1,0.04,0.000,2.970,28.085,90.75,,,
Benfica (Colegio Militar/Luz),Ajuda (Ajuda | Sul),326,81.5,63,0.19,0.007,6.324,17.340,93.85,,,
Benfica (Colegio Militar/Luz),Ajuda (Restelo),64,16.0,10,0.16,0.027,2.576,20.890,97.01,,,
Benfica (Colegio Militar/Luz),Alcantara (Santo Amaro | Norte),17,4.3,20,1.18,0.237,16.672,40.272,89.87,,,
Benfica (Colegio Militar/Luz),Alcantara (Santo Amaro | Oeste),,,,,,,,,,,
Benfica (Colegio Militar/Luz),Alcantara (Santo Amaro | Sul),21,5.3,43,2.05,0.255,22.838,49.585,95.01,,,
Benfica (Colegio Militar/Luz),Alvalade (Alvalade),168,42.0,37,0.22,0.014,2.082,11.249,92.9,,,
Benfica (Colegio Militar/Luz),Alvalade (Avenida do Brasil),,,,,,,,,,,
Benfica (Colegio Militar/Luz),Alvalade (Campo Grande),235,58.8,39,0.17,0.026,4.680,18.850,89.85,,,
Benfica (Colegio Militar/Luz),Alvalade (Cidade Universitaria),258,64.5,48,0.19,0.022,2.509,14.646,87.93,,,
Benfica (Colegio Militar/Luz),Alvalade (Hospital Santa Maria | Este),187,46.8,24,0.13,0.012,2.113,15.939,99.01,,,
Benfica (Colegio Militar/Luz),Alvalade (Hospital Santa Maria | Oeste),3,0.8,8,2.67,0.184,17.390,24.965,99.5,,,
Benfica (Colegio Militar/Luz),Alvalade (Roma - Areeiro | Este),79,19.8,1,0.01,0.000,0.456,13.548,98.63,,,
Benfica (Colegio Militar/Luz),Alvalade (Roma - Areeiro | Oeste),,,,,,,,,,,
Benfica (Colegio Militar/Luz),Alvalade (Sao Joao de Brito),31,7.8,35,1.13,0.123,22.610,36.780,97.23,,,
Benfica (Colegio Militar/Luz),Areeiro (Alto Pina),11,2.8,23,2.09,0.099,40.905,66.538,98.93,,,
Benfica (Colegio Militar/Luz),Areeiro (Areeiro | Norte),202,50.5,40,0.20,0.000,4.204,24.881,88.52,,,
Benfica (Colegio Militar/Luz),Areeiro (Areeiro | Sul),,,,,,,,,,,
Benfica (Colegio Militar/Luz),Arroios (Anjos),152,38.0,7,0.05,0.000,1.414,25.740,78.22,,,
Benfica (Colegio Militar/Luz),Arroios (Arroios | Norte),5,1.3,4,0.80,0.034,10.253,27.026,58.44,,,
Benfica (Colegio Militar/Luz),Arroios (Arroios | Sul),11,2.8,20,1.82,0.051,37.468,65.591,90.61,,,
Benfica (Colegio Militar/Luz),Arroios (Estefania),144,36.0,16,0.11,0.008,1.994,16.270,89,,,
Benfica (Colegio Militar/Luz),Avenidas Novas (Avenidas Novas | Este),71,17.8,37,0.52,0.009,5.369,15.777,91.1,,,
Benfica (Colegio Militar/Luz),Avenidas Novas (Avenidas Novas | Oeste),37,9.3,4,0.11,0.000,1.677,13.141,90.78,,,
Benfica (Colegio Militar/Luz),Avenidas Novas (Bairro Santos | Este),36,9.0,28,0.78,0.060,15.364,25.078,96.48,,,
Benfica (Colegio Militar/Luz),Avenidas Novas (Bairro Santos | Oeste),6,1.5,8,1.33,0.105,14.044,18.110,90.92,,,
Benfica (Colegio Militar/Luz),Avenidas Novas (Campo Pequeno | Este),4,1.0,10,2.50,0.016,15.000,26.850,99.6,,,
Benfica (Colegio Militar/Luz),Avenidas Novas (Campo Pequeno | Oeste),,,,,,,,,,,
Benfica (Colegio Militar/Luz),Avenidas Novas (Parque Eduardo VII),94,23.5,19,0.20,0.000,2.265,14.201,96.61,,,
Benfica (Colegio Militar/Luz),Avenidas Novas (Picoas),72,18.0,16,0.22,0.017,4.336,18.247,95.31,,,
Benfica (Colegio Militar/Luz),Beato (Madre Deus | Norte),,,,,,,,,,,
Benfica (Colegio Militar/Luz),Beato (Madre Deus | Oeste),,,,,,,,,,,
Benfica (Colegio Militar/Luz),Beato (Madre Deus | Sul),1,0.3,1,1.00,0.000,10.870,41.244,100,,,
Benfica (Colegio Militar/Luz),Beato (Picheleira),1,0.3,2,2.00,0.277,33.672,45.769,93,,,
Benfica (Colegio Militar/Luz),Belem (Alto Duque),4,1.0,2,0.50,0.000,7.320,29.669,100,,,
Benfica (Colegio Militar/Luz),Belem (Belem | Este),7,1.8,5,0.71,0.261,29.825,62.410,92.43,,,
Benfica (Colegio Militar/Luz),Belem (Belem | Oeste),858,214.5,40,0.05,0.000,0.658,15.505,98.11,,,
Benfica (Colegio Militar/Luz),Belem (Ribeirinha - Belem),,,,,,,,,,,
Benfica (Colegio Militar/Luz),Benfica (Benfica | Norte),1039,259.8,134,0.13,0.013,2.185,10.556,94.67,,,
Benfica (Colegio Militar/Luz),Benfica (Benfica | Sul),1645,411.3,267,0.16,0.008,2.191,5.352,94.06,,,
Benfica (Colegio Militar/Luz),Benfica (Colegio Militar/Luz),883,220.8,543,0.61,0.026,10.163,14.484,87.03,,,
Benfica (Colegio Militar/Luz),Benfica (Monsanto | Norte),283,70.8,35,0.12,0.026,5.220,14.251,97.47,,,
Benfica (Colegio Militar/Luz),Campo de Ourique (Amoreiras),109,27.3,11,0.10,0.015,1.975,7.923,94,,,
Benfica (Colegio Militar/Luz),Campo de Ourique (Campo Ourique),11,2.8,13,1.18,0.061,25.158,43.626,99.56,,,
Benfica (Colegio Militar/Luz),Campolide (Bairro Liberdade),9,2.3,10,1.11,0.141,26.740,40.063,97.2,,,
Benfica (Colegio Militar/Luz),Campolide (Campolide),134,33.5,42,0.31,0.022,4.759,9.915,85.63,,,
Benfica (Colegio Militar/Luz),Campolide (Praca Espanha | Norte),233,58.3,24,0.10,0.009,1.681,6.972,98.32,,,
Benfica (Colegio Militar/Luz),Campolide (Praca Espanha | Sul),5,1.3,6,1.20,0.146,26.774,36.143,94.25,,,
Benfica (Colegio Militar/Luz),Carnide (Avenidas Novas),670,167.5,29,0.04,0.011,1.183,5.330,87.57,,,
Benfica (Colegio Militar/Luz),Carnide (Carnide),534,133.5,113,0.21,0.020,7.911,8.123,97.2,,,
Benfica (Colegio Militar/Luz),Estrela (Alcantara),13,3.3,26,2.00,0.083,23.655,38.263,99.8,,,
Benfica (Colegio Militar/Luz),Estrela (Estrela),12,3.0,16,1.33,0.021,16.364,27.669,90.1,,,
Benfica (Colegio Militar/Luz),Estrela (Lapa),3,0.8,2,0.67,0.039,24.759,37.402,100,,,
Benfica (Colegio Militar/Luz),Estrela (Ribeirinha - Belem),,,,,,,,,,,
Benfica (Colegio Militar/Luz),Fora Municipio Lisboa,2352,588.0,442,0.19,0.007,2.582,8.843,94.14,,,
Benfica (Colegio Militar/Luz),Lumiar (Aeroporto),5,1.3,7,1.40,0.148,39.638,54.596,93,,,
Benfica (Colegio Militar/Luz),Lumiar (Lumiar | Norte),20,5.0,27,1.35,0.095,16.066,34.445,97.16,,,
Benfica (Colegio Militar/Luz),Lumiar (Lumiar | Oeste),141,35.3,33,0.23,0.024,2.696,12.158,98.19,,,
Benfica (Colegio Militar/Luz),Lumiar (Lumiar | Sul),14,3.5,7,0.50,0.000,18.386,32.935,96.45,,,
Benfica (Colegio Militar/Luz),Lumiar (Paco Lumiar),130,32.5,35,0.27,0.019,5.402,14.507,96.78,,,
Benfica (Colegio Militar/Luz),Lumiar (Parque Europa),107,26.8,112,1.05,0.065,13.150,21.909,96.27,,,
Benfica (Colegio Militar/Luz),Lumiar (Telheiras | Este),785,196.3,45,0.06,0.000,0.533,13.445,98.38,,,
Benfica (Colegio Militar/Luz),Lumiar (Telheiras | Norte),126,31.5,10,0.08,0.010,1.231,8.487,95.04,,,
Benfica (Colegio Militar/Luz),Lumiar (Telheiras | Oeste),444,111.0,27,0.06,0.007,1.020,7.072,96.39,,,
Benfica (Colegio Militar/Luz),Marvila (Bairro Armador),1,0.3,3,3.00,0.023,44.086,60.454,100,,,
Benfica (Colegio Militar/Luz),Marvila (Chelas),14,3.5,12,0.86,0.010,17.602,42.418,97,,,
Benfica (Colegio Militar/Luz),Marvila (Infante Dom Henrique - Porto | Este),1,0.3,4,4.00,0.000,44.434,115.045,,,,
Benfica (Colegio Militar/Luz),Marvila (Infante Dom Henrique - Porto | Oeste),,,,,,,,,,,
Benfica (Colegio Militar/Luz),Marvila (Marechal Gomes da Costa),12,3.0,17,1.42,0.066,13.638,28.689,99.23,,,
Benfica (Colegio Militar/Luz),Marvila (Parque Bela Vista),32,8.0,41,1.28,0.059,17.268,30.467,98.77,,,
Benfica (Colegio Militar/Luz),Misericordia (Bairro Alto),37,9.3,13,0.35,0.032,4.032,12.503,94.77,,,
Benfica (Colegio Militar/Luz),Misericordia (Sao Paulo),93,23.3,28,0.30,0.014,3.571,12.986,93.98,,,
Benfica (Colegio Militar/Luz),Olivais (Alfredo Bensaude),4,1.0,4,1.00,0.109,19.937,44.511,99.07,,,
Benfica (Colegio Militar/Luz),Olivais (Encarnacao | Este),2,0.5,2,1.00,0.157,33.789,52.498,100,,,
Benfica (Colegio Militar/Luz),Olivais (Encarnacao | Oeste),,,,,,,,,,,
Benfica (Colegio Militar/Luz),Olivais (Logistica Aeroportuaria),,,,,,,,,,,
Benfica (Colegio Militar/Luz),Olivais (Olivais - Centro),3,0.8,2,0.67,0.069,27.516,43.956,95.67,,,
Benfica (Colegio Militar/Luz),Olivais (Olivais | Este),1,0.3,3,3.00,0.000,9.707,45.739,,,,
Benfica (Colegio Militar/Luz),Olivais (Olivais | Norte),2,0.5,5,2.50,0.077,37.646,57.920,100,,,
Benfica (Colegio Militar/Luz),Olivais (Olivais | Sul),,,,,,,,,,,
Benfica (Colegio Militar/Luz),Olivais (Relogio),,,,,,,,,,,
Benfica (Colegio Militar/Luz),Parque das Nacoes (Estacao Oriente),13,3.3,16,1.23,0.099,14.622,31.622,98.08,,,
Benfica (Colegio Militar/Luz),Parque das Nacoes (Parque Nacoes | Norte),2,0.5,5,2.50,0.159,26.928,48.192,90,,,
Benfica (Colegio Militar/Luz),Parque das Nacoes (Parque Nacoes | Sul),1,0.3,2,2.00,0.000,20.002,52.130,,,,
Benfica (Colegio Militar/Luz),Parque das Nacoes (Parque Tejo),,,,,,,,,,,
Benfica (Colegio Militar/Luz),Parque das Nacoes (Quinta Laranjeiras),3,0.8,7,2.33,0.234,53.232,77.945,99.44,,,
Benfica (Colegio Militar/Luz),Penha de Franca (Penha Franca),14,3.5,15,1.07,0.054,32.677,53.103,97.03,,,
Benfica (Colegio Militar/Luz),Penha de Franca (Sao Joao),9,2.3,23,2.56,0.103,17.732,38.923,94.38,,,
Benfica (Colegio Militar/Luz),Santa Clara (Ameixoeira | Norte),113,28.3,134,1.19,0.082,23.013,33.839,96.12,,,
Benfica (Colegio Militar/Luz),Santa Clara (Ameixoeira | Sul),87,21.8,57,0.66,0.040,18.182,26.341,93.72,,,
Benfica (Colegio Militar/Luz),Santa Maria Maior (Baixa),23,5.8,42,1.83,0.071,26.503,42.488,96.5,,,
Benfica (Colegio Militar/Luz),Santa Maria Maior (Castelo),2,0.5,6,3.00,0.000,9.625,24.184,,,,
Benfica (Colegio Militar/Luz),Santo Antonio (Amoreiras),1,0.3,3,3.00,0.000,11.094,31.311,,,,
Benfica (Colegio Militar/Luz),Santo Antonio (Sao Jose),6,1.5,9,1.50,0.244,36.723,50.819,85.6,,,
Benfica (Colegio Militar/Luz),Santo Antonio (Sao Mamede),87,21.8,12,0.14,0.009,1.905,10.464,73.62,,,
Benfica (Colegio Militar/Luz),Sao Domingos de Benfica (Estrada Luz | Este),22,5.5,21,0.95,0.089,15.497,22.397,98.1,,,
Benfica (Colegio Militar/Luz),Sao Domingos de Benfica (Estrada Luz | Oeste),118,29.5,41,0.35,0.008,8.196,5.871,96.27,,,
Benfica (Colegio Militar/Luz),Sao Domingos de Benfica (Monsanto | Norte),,,,,,,,,,,
Benfica (Colegio Militar/Luz),Sao Domingos de Benfica (Sao Domingos de Benfica),523,130.8,195,0.37,0.047,6.780,10.088,94.32,,,
Benfica (Colegio Militar/Luz),Sao Domingos de Benfica (Sete Rios | Norte),182,45.5,91,0.50,0.012,3.655,11.756,96.33,,,
Benfica (Colegio Militar/Luz),Sao Domingos de Benfica (Sete Rios | Sul),3,0.8,2,0.67,0.134,28.391,33.262,84.83,,,
Benfica (Colegio Militar/Luz),Sao Vicente de Fora (Sao Vicente),18,4.5,27,1.50,0.055,19.452,42.585,95.81,,,
Benfica (Monsanto | Norte),Ajuda (Ajuda | Norte),15,3.8,13,0.87,0.015,56.353,12.707,95.91,,,
Benfica (Monsanto | Norte),Ajuda (Ajuda | Oeste),1,0.3,1,1.00,0.181,21.778,50.076,83.5,,,
Benfica (Monsanto | Norte),Ajuda (Ajuda | Sul),22,5.5,14,0.64,0.037,5.109,14.148,89.98,,,
Benfica (Monsanto | Norte),Ajuda (Restelo),12,3.0,17,1.42,0.210,6.263,20.218,94.89,,,
Benfica (Monsanto | Norte),Alcantara (Santo Amaro | Norte),91,22.8,5,0.05,0.025,1.634,12.252,91.99,,,
Benfica (Monsanto | Norte),Alcantara (Santo Amaro | Oeste),,,,,,,,,,,
Benfica (Monsanto | Norte),Alcantara (Santo Amaro | Sul),11,2.8,9,0.82,0.279,23.342,40.145,94.17,,,
Benfica (Monsanto | Norte),Alvalade (Alvalade),63,15.8,29,0.46,0.011,4.157,18.026,83.51,,,
Benfica (Monsanto | Norte),Alvalade (Avenida do Brasil),,,,,,,,,,,
Benfica (Monsanto | Norte),Alvalade (Campo Grande),94,23.5,10,0.11,0.000,0.750,10.128,95.78,,,
Benfica (Monsanto | Norte),Alvalade (Cidade Universitaria),22,5.5,9,0.41,0.036,10.755,31.167,89.19,,,
Benfica (Monsanto | Norte),Alvalade (Hospital Santa Maria | Este),35,8.8,46,1.31,0.075,13.472,34.165,89.12,,,
Benfica (Monsanto | Norte),Alvalade (Hospital Santa Maria | Oeste),16,4.0,2,0.13,0.000,1.706,8.816,96.5,,,
Benfica (Monsanto | Norte),Alvalade (Roma - Areeiro | Este),,,,,,,,,,,
Benfica (Monsanto | Norte),Alvalade (Roma - Areeiro | Oeste),,,,,,,,,,,
Benfica (Monsanto | Norte),Alvalade (Sao Joao de Brito),25,6.3,7,0.28,0.000,2.174,11.995,92.26,,,
Benfica (Monsanto | Norte),Areeiro (Alto Pina),4,1.0,8,2.00,0.217,41.329,66.757,99,,,
Benfica (Monsanto | Norte),Areeiro (Areeiro | Norte),11,2.8,14,1.27,0.084,18.558,40.328,94,,,
Benfica (Monsanto | Norte),Areeiro (Areeiro | Sul),,,,,,,,,,,
Benfica (Monsanto | Norte),Arroios (Anjos),10,2.5,31,3.10,0.160,36.654,60.938,94.67,,,
Benfica (Monsanto | Norte),Arroios (Arroios | Norte),8,2.0,9,1.13,0.186,21.048,51.876,93.25,,,
Benfica (Monsanto | Norte),Arroios (Arroios | Sul),3,0.8,5,1.67,0.347,20.354,55.418,91.67,,,
Benfica (Monsanto | Norte),Arroios (Estefania),12,3.0,9,0.75,0.088,10.866,24.994,96.35,,,
Benfica (Monsanto | Norte),Avenidas Novas (Avenidas Novas | Este),18,4.5,23,1.28,0.095,15.904,30.509,96.91,,,
Benfica (Monsanto | Norte),Avenidas Novas (Avenidas Novas | Oeste),6,1.5,6,1.00,0.105,16.037,29.427,91.6,,,
Benfica (Monsanto | Norte),Avenidas Novas (Bairro Santos | Este),7,1.8,4,0.57,0.078,7.744,28.205,92.73,,,
Benfica (Monsanto | Norte),Avenidas Novas (Bairro Santos | Oeste),,,,,,,,,,,
Benfica (Monsanto | Norte),Avenidas Novas (Campo Pequeno | Este),10,2.5,7,0.70,0.011,15.858,36.631,83.86,,,
Benfica (Monsanto | Norte),Avenidas Novas (Campo Pequeno | Oeste),,,,,,,,,,,
Benfica (Monsanto | Norte),Avenidas Novas (Parque Eduardo VII),22,5.5,31,1.41,0.121,21.297,35.973,95.21,,,
Benfica (Monsanto | Norte),Avenidas Novas (Picoas),26,6.5,21,0.81,0.079,18.495,40.589,98.71,,,
Benfica (Monsanto | Norte),Beato (Madre Deus | Norte),,,,,,,,,,,
Benfica (Monsanto | Norte),Beato (Madre Deus | Oeste),1,0.3,1,1.00,0.051,17.193,50.094,100,,,
Benfica (Monsanto | Norte),Beato (Madre Deus | Sul),1,0.3,1,1.00,0.045,16.578,43.768,100,,,
Benfica (Monsanto | Norte),Beato (Picheleira),3,0.8,8,2.67,0.349,444.593,57.691,97,,,
Benfica (Monsanto | Norte),Belem (Alto Duque),6,1.5,4,0.67,0.081,11.899,20.535,97.88,,,
Benfica (Monsanto | Norte),Belem (Belem | Este),4,1.0,4,1.00,0.245,10.148,24.386,99,,,
Benfica (Monsanto | Norte),Belem (Belem | Oeste),163,40.8,30,0.18,0.026,3.902,14.528,98.41,,,
Benfica (Monsanto | Norte),Belem (Ribeirinha - Belem),,,,,,,,,,,
Benfica (Monsanto | Norte),Benfica (Benfica | Norte),100,25.0,38,0.38,0.022,3.468,11.965,90.49,,,
